LON: -98.84586459 | LAT: 19.2419106370383,,
Day,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0,0,0,0,0,0,0,0,1.3126107454299927,0,0,2.77390193939209,0,0,0,0,0,3.977200508117676,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,1.3126107454299927,0,0,2.77390193939209,0,0,0,0,0,3.977200508117676,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2.167020559310913,0,0,0,1.8916672468185425,0,0,1.3126107454299927,0,0,2.77390193939209,0,0,0,0,0,3.977200508117676,0,0,0,0,0,0,0,0,0,0,0,0
4,0,2.167020559310913,0,0,0,1.8916672468185425,0,0,1.3126107454299927,0,0,2.77390193939209,0,0,0,0,0,3.977200508117676,0,1.7528611421585083,0,0,0,0,0,0,0,0,0,0
5,0,2.167020559310913,0,0,0,1.8916672468185425,0,0,1.3126107454299927,0,0,2.77390193939209,0,0,0,0,0,3.977200508117676,0,1.7528611421585083,0,0,0,0,0,0,0,0,0,5.032306671142578
6,0,2.167020559310913,0,0,0,1.8916672468185425,0,0,1.3126107454299927,0,0,2.77390193939209,0,0,0,0,0,3.977200508117676,0,3.777117371559143,0,0,0,0,0,0,0,0,0,5.032306671142578
7,0,2.167020559310913,0,0,0,1.8916672468185425,0,0,1.3126107454299927,0,0,2.77390193939209,0,1.5699787139892578,0,0,0,3.977200508117676,0,3.777117371559143,0,0,0,0,0,0,2.7411048412323,0,1.0226629972457886,5.032306671142578
8,0,2.167020559310913,0,0,0,1.8916672468185425,0,0,1.3126107454299927,0,0,2.77390193939209,0,1.5699787139892578,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,0,0,0,0,0,0,4.11165726184845,0,1.0226629972457886,9.48125171661377
9,0,2.167020559310913,0,0,0,1.8916672468185425,0,0,1.3126107454299927,0,0,2.77390193939209,0,1.5699787139892578,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,0,0,0,0,0,0,4.11165726184845,0,3.0679889917373657,9.48125171661377
10,0,2.167020559310913,0,0,0,4.99445116519928,0,0,5.0045119524002075,0,0,2.77390193939209,0,1.5699787139892578,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,1.138214111328125,0,0,0,0,0,4.11165726184845,0,3.0679889917373657,9.48125171661377
11,0,2.167020559310913,0,0,0,4.99445116519928,0,0,5.0045119524002075,0,0,2.77390193939209,0,1.5699787139892578,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,1.138214111328125,0,0,0,0,0,4.11165726184845,0,3.0679889917373657,9.48125171661377
12,0,2.167020559310913,0,0,0,4.99445116519928,0,0,5.0045119524002075,0,0,2.77390193939209,0,1.5699787139892578,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,3.41630220413208,0,0,0,0,0,4.11165726184845,0,3.0679889917373657,9.48125171661377
13,0,2.167020559310913,0,0,0,4.99445116519928,3.1336236000061035,0,5.0045119524002075,0,0,2.77390193939209,0,7.2729058265686035,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,4.555346250534058,0,0,0,0,0,4.11165726184845,0,3.0679889917373657,9.48125171661377
14,0,5.111460447311401,0,0,0,4.99445116519928,6.3631744384765625,0,5.0045119524002075,0,0,2.77390193939209,0,7.2729058265686035,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,4.555346250534058,0,0,0,0,0,4.11165726184845,0,3.0679889917373657,9.48125171661377
15,0,5.111460447311401,0,0,0,4.99445116519928,6.3631744384765625,0,5.0045119524002075,0,0,2.77390193939209,0,7.2729058265686035,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,4.555346250534058,0,0,0,0,0,4.11165726184845,0,3.0679889917373657,9.48125171661377
16,0,5.111460447311401,0,0,0,4.99445116519928,6.3631744384765625,0,5.0045119524002075,0,0,2.77390193939209,0,7.2729058265686035,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,5.532613754272461,0,0,0,0,0,4.11165726184845,0,3.0679889917373657,9.48125171661377
17,0,5.111460447311401,0,0,0,4.99445116519928,6.3631744384765625,0,5.0045119524002075,0,0,2.77390193939209,0,7.2729058265686035,7.846291542053223,0,0,3.977200508117676,0,3.777117371559143,6.021247506141663,0,0,0,0,3.8252291679382324,4.11165726184845,0,3.0679889917373657,9.48125171661377
