LON: -98.919766 | LAT: 19.227781,,
Day,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0,0,0,0,0,0,0,0,3.155628204345703,0,0,0,0,0,1.9741921424865723,0,0,3.6455154418945312,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0.7643006443977356,0,0,3.155628204345703,0,0,0,0,0,1.9741921424865723,0,0,3.6455154418945312,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2.305081605911255,0,0,0,0.7643006443977356,0,0,3.155628204345703,0,0,0,0,0,1.9741921424865723,0,0,3.6455154418945312,0,0,0,0,0,0,1.9792745113372803,0,0,0,0,0
4,0,2.305081605911255,0,0,0,1.5286012887954712,0,0,3.155628204345703,0,0,0,0,0,1.9741921424865723,0,0,3.6455154418945312,0,0,0,0,0,0,1.9792745113372803,0,0,0,0,0
5,0,2.305081605911255,0,0,0,1.5286012887954712,0,0,3.155628204345703,0,0,0,0,0,1.9741921424865723,0,0,3.6455154418945312,0,0,0,0,0,0,1.9792745113372803,0,0,0,0,0
6,0,2.305081605911255,0,0,0,1.5286012887954712,0,0,3.155628204345703,0,0,0,0,0,1.9741921424865723,0,0,3.6455154418945312,0,0,0,0,0,0,1.9792745113372803,0,0,0,0,0
7,0,2.305081605911255,0,0,0,1.5286012887954712,0,0,3.155628204345703,0,0,0,0,1.747336983680725,1.9741921424865723,0,0,3.6455154418945312,0,0,0,0,0,0,1.9792745113372803,0,1.9327161312103271,0,1.1008158922195435,0
8,0,2.305081605911255,0,0,0,1.5286012887954712,0,0,3.155628204345703,0,0,0,0,1.747336983680725,10.242741107940674,0,0,3.6455154418945312,0,0,0,0,0,0,1.9792745113372803,0,2.8990741968154907,0,1.1008158922195435,0
9,0,2.305081605911255,0,0,0,1.5286012887954712,0,0,3.155628204345703,0,0,0,0,1.747336983680725,10.242741107940674,0,0,3.6455154418945312,0,2.6895151138305664,0,0,0,0,1.9792745113372803,0,2.8990741968154907,0,2.201631784439087,0
10,0,2.305081605911255,0,0,0,3.935646891593933,0,0,5.680583238601685,0,0,0,0,1.747336983680725,10.242741107940674,0,0,3.6455154418945312,0,2.6895151138305664,1.331682562828064,0,0,2.987093448638916,1.9792745113372803,0,2.8990741968154907,0,2.201631784439087,0
11,0,2.305081605911255,0,0,0,3.935646891593933,0,0,5.680583238601685,0,0,0,0,1.747336983680725,10.242741107940674,0,0,3.6455154418945312,0,2.6895151138305664,1.331682562828064,0,0,2.987093448638916,1.9792745113372803,0,2.8990741968154907,0,2.201631784439087,0
12,0,2.305081605911255,0,0,0,3.935646891593933,0,0,5.680583238601685,0,0,0,0,1.747336983680725,10.242741107940674,0,0,3.6455154418945312,0,2.6895151138305664,3.8202537298202515,0,0,2.987093448638916,1.9792745113372803,0,2.8990741968154907,0,2.201631784439087,0
13,0,2.305081605911255,0,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,2.6895151138305664,5.064539313316345,0,0,2.987093448638916,1.9792745113372803,0,2.8990741968154907,0,2.201631784439087,0
14,0,5.361443519592285,0,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,5.064539313316345,0,0,2.987093448638916,1.9792745113372803,0,2.8990741968154907,0,2.201631784439087,0
15,0,5.361443519592285,0,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,5.064539313316345,0,0,2.987093448638916,1.9792745113372803,0,2.8990741968154907,0,2.201631784439087,0
16,0,5.361443519592285,0,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,5.576920688152313,0,0,2.987093448638916,1.9792745113372803,0,2.8990741968154907,0,2.201631784439087,0
17,0,5.361443519592285,0,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,6.089302062988281,0,0,2.987093448638916,1.9792745113372803,4.080769062042236,4.937118649482727,0,2.201631784439087,0
18,0,5.361443519592285,9.019424438476562,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,6.089302062988281,0,0,2.987093448638916,1.9792745113372803,4.080769062042236,4.937118649482727,0,2.201631784439087,0
19,0,5.361443519592285,9.019424438476562,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,6.089302062988281,0,0,2.987093448638916,5.073737382888794,4.080769062042236,4.937118649482727,0,2.201631784439087,0
20,0,5.361443519592285,9.019424438476562,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,7.114064812660217,0,0,2.987093448638916,5.073737382888794,4.080769062042236,4.937118649482727,0,2.201631784439087,0
21,0,5.361443519592285,9.019424438476562,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,7.114064812660217,0,0,2.987093448638916,5.073737382888794,4.080769062042236,4.937118649482727,0,2.201631784439087,0.024547846987843513
22,0,5.361443519592285,9.019424438476562,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,0,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,7.114064812660217,0,0,2.987093448638916,5.073737382888794,4.080769062042236,4.937118649482727,0,3.2690192461013794,0.024547846987843513
23,0,5.361443519592285,9.019424438476562,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,3.9303441047668457,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,7.114064812660217,0,0,5.202009439468384,6.760404348373413,4.080769062042236,4.937118649482727,0,3.2690192461013794,0.024547846987843513
24,0,5.361443519592285,9.019424438476562,0,0,3.935646891593933,7.68648099899292,0,5.680583238601685,3.9303441047668457,0,0,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,8.327901363372803,0,0,5.202009439468384,6.760404348373413,5.93808126449585,4.937118649482727,0,3.2690192461013794,4.910075457766652
25,0,5.361443519592285,9.019424438476562,0,0,5.262995600700378,7.68648099899292,0,5.680583238601685,3.9303441047668457,0,2.7589378356933594,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,4.436259150505066,8.327901363372803,0,0,5.202009439468384,6.760404348373413,5.93808126449585,4.937118649482727,0,3.2690192461013794,5.908476145938039
26,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,0,5.680583238601685,3.9303441047668457,0,2.7589378356933594,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,5.669922947883606,8.327901363372803,0,0,5.202009439468384,6.760404348373413,5.93808126449585,4.937118649482727,0,3.2690192461013794,5.908476145938039
27,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,0,17.319112062454224,3.9303441047668457,0,5.664502859115601,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,5.669922947883606,8.327901363372803,0,0,5.202009439468384,6.760404348373413,5.93808126449585,4.937118649482727,0,3.2690192461013794,5.908476145938039
28,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,0,17.319112062454224,3.9303441047668457,2.857182741165161,5.664502859115601,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,5.669922947883606,8.327901363372803,0,0,5.202009439468384,6.760404348373413,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
29,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,0,17.319112062454224,3.9303441047668457,4.285774111747742,5.664502859115601,0,7.6507264375686646,10.242741107940674,0,0,3.6455154418945312,0,5.669922947883606,10.11866044998169,0,0,5.202009439468384,6.760404348373413,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
30,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,0,17.319112062454224,3.9303441047668457,4.285774111747742,5.664502859115601,0,7.6507264375686646,12.119275331497192,0,0,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,0,5.202009439468384,6.760404348373413,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
31,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,0,17.319112062454224,3.9303441047668457,4.285774111747742,5.664502859115601,0,7.6507264375686646,12.119275331497192,0,0,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,6.692758083343506,5.202009439468384,6.760404348373413,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
32,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,0,18.388365864753723,3.9303441047668457,4.285774111747742,5.664502859115601,0,7.6507264375686646,12.119275331497192,0,1.0502299070358276,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,6.692758083343506,5.202009439468384,7.520580351352692,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
33,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,2.068004608154297,18.388365864753723,3.9303441047668457,4.285774111747742,5.664502859115601,0,7.6507264375686646,12.119275331497192,0,1.4003065526485443,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,6.692758083343506,5.202009439468384,10.561284363269806,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
34,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,2.068004608154297,18.388365864753723,3.9303441047668457,4.285774111747742,7.664316773414612,0,7.6507264375686646,13.720382332801819,0,1.4003065526485443,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,6.692758083343506,5.202009439468384,10.561284363269806,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
35,0,5.361443519592285,9.019424438476562,0,0,6.336312651634216,7.68648099899292,2.068004608154297,18.388365864753723,3.9303441047668457,4.285774111747742,9.664130687713623,0,7.6507264375686646,16.922596335411072,0,1.4003065526485443,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,6.692758083343506,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
36,0,5.361443519592285,9.019424438476562,0,0,7.161511778831482,7.68648099899292,2.068004608154297,18.388365864753723,5.603325009346008,4.285774111747742,11.663944602012634,0,7.6507264375686646,16.922596335411072,0,2.1004598438739777,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,6.692758083343506,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,15.545554431155324
37,0,5.361443519592285,9.019424438476562,0,0,7.161511778831482,7.68648099899292,2.068004608154297,18.388365864753723,7.668277382850647,4.285774111747742,11.663944602012634,0,7.6507264375686646,16.922596335411072,0,3.780896335840225,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,6.692758083343506,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,16.06438306160271
38,0,5.361443519592285,9.019424438476562,0,1.1238038539886475,7.161511778831482,7.68648099899292,2.068004608154297,18.388365864753723,7.668277382850647,4.285774111747742,11.663944602012634,0,7.6507264375686646,16.922596335411072,0,6.301551252603531,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,6.692758083343506,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,16.553248347714543
39,0,5.361443519592285,9.019424438476562,0,1.1238038539886475,7.161511778831482,7.68648099899292,2.068004608154297,18.388365864753723,7.668277382850647,4.285774111747742,11.663944602012634,0,7.6507264375686646,16.922596335411072,0,7.981987744569778,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,7.070076942443848,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,16.575657656416297
40,0,5.361443519592285,9.019424438476562,0,1.1238038539886475,7.161511778831482,7.68648099899292,2.068004608154297,18.388365864753723,7.668277382850647,4.285774111747742,11.663944602012634,0,7.6507264375686646,16.922596335411072,0,7.981987744569778,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,7.070076942443848,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,16.575657656416297
41,0,5.361443519592285,9.019424438476562,0,1.1238038539886475,7.161511778831482,7.68648099899292,2.068004608154297,18.388365864753723,7.668277382850647,4.285774111747742,11.663944602012634,0,7.6507264375686646,17.676169753074646,0,7.981987744569778,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,7.824714660644531,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,16.605203215032816
42,0,5.361443519592285,9.019424438476562,2.2007813453674316,1.1238038539886475,7.161511778831482,7.68648099899292,2.068004608154297,18.388365864753723,7.668277382850647,4.285774111747742,11.663944602012634,2.1802351474761963,7.6507264375686646,17.676169753074646,0,7.981987744569778,3.6455154418945312,0,5.669922947883606,10.417120277881622,0,8.530335068702698,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,16.605203215032816
43,0,5.361443519592285,9.019424438476562,3.3011720180511475,1.1238038539886475,7.161511778831482,9.51870322227478,2.068004608154297,19.550276160240173,7.668277382850647,4.285774111747742,11.663944602012634,2.1802351474761963,7.6507264375686646,19.380952835083008,0,7.981987744569778,3.6455154418945312,0,6.616394519805908,10.417120277881622,0,8.530335068702698,5.202009439468384,12.081636369228363,5.93808126449585,4.937118649482727,0,3.2690192461013794,16.605203215032816
