LON: -98.78436 | LAT: 19.08332,,
Day,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,5.0156707763671875,0,0,0,0,0,0,0,0,0,0,4.767855644226074,0,0,0,0,0,2.7632272243499756,0,0,0,0,0,0,0,0,0,0,0,0
2,5.0156707763671875,6.750082015991211,0,0,0,0,0,0,0,0,0,4.767855644226074,0,0,0,0,0,2.7632272243499756,0,0,0,0,0,2.722382068634033,0,0,0,0,0,0
3,5.0156707763671875,6.750082015991211,0,0,0,0,0,2.8268115520477295,0,0,0,4.767855644226074,0,0,0,0,0,2.7632272243499756,0,0,0,0,0,2.722382068634033,0,0,0,0,0,0
4,5.0156707763671875,6.750082015991211,0,0,4.893828868865967,2.4630355834960938,0,2.8268115520477295,0,0,0,4.767855644226074,0,0,0,0,0,2.7632272243499756,0,1.2601196765899658,0,0,0,2.722382068634033,0,0,0,0,0,0
5,5.0156707763671875,6.750082015991211,0,0,4.893828868865967,2.4630355834960938,0,2.8268115520477295,0,0,0,4.767855644226074,0,0,0,0,0,2.7632272243499756,0,1.2601196765899658,0,0,0,2.722382068634033,0,0,0,0,0,0
6,5.0156707763671875,6.750082015991211,0,0,4.893828868865967,2.4630355834960938,0,2.8268115520477295,0,0,0,4.767855644226074,0,0,0,0,0,2.7632272243499756,0,2.243336021900177,0,0,0,2.722382068634033,0,0,0,0,0,0
7,5.0156707763671875,6.750082015991211,0,0,4.893828868865967,2.4630355834960938,0,2.8268115520477295,0,0,0,4.767855644226074,0,4.718593120574951,0,0,0,2.7632272243499756,0,3.226552367210388,0,0,0,2.722382068634033,0,1.542850375175476,3.840038299560547,0,0,0
8,5.0156707763671875,6.750082015991211,0,0,4.893828868865967,2.4630355834960938,0,2.8268115520477295,0,0,0,4.767855644226074,0,4.718593120574951,15.245948791503906,0,0,2.7632272243499756,3.243366241455078,3.226552367210388,0,0,0,2.722382068634033,0,1.542850375175476,5.76005744934082,0,0,8.617274284362793
9,5.0156707763671875,6.750082015991211,0,0,4.893828868865967,2.4630355834960938,0,2.8268115520477295,0,0,0,4.767855644226074,0,4.718593120574951,15.245948791503906,0,0,4.21770179271698,3.243366241455078,4.209768712520599,0,0,0,2.722382068634033,0,1.542850375175476,5.76005744934082,0,4.724241256713867,8.617274284362793
10,6.033536314964294,6.750082015991211,0,0,4.893828868865967,8.776257514953613,0,2.8268115520477295,0,0,0,4.767855644226074,0,4.718593120574951,15.245948791503906,0,0,4.21770179271698,3.243366241455078,4.209768712520599,0,0,0,2.722382068634033,0,1.542850375175476,5.76005744934082,0,4.724241256713867,8.617274284362793
11,6.033536314964294,6.750082015991211,0,0,4.893828868865967,8.776257514953613,0,2.8268115520477295,0,0,0,4.767855644226074,0,4.718593120574951,15.245948791503906,0,0,4.21770179271698,3.243366241455078,4.209768712520599,0,0,0,2.722382068634033,0,1.542850375175476,5.76005744934082,0,4.724241256713867,8.617274284362793
12,6.033536314964294,6.750082015991211,0,0,4.893828868865967,8.776257514953613,0,2.8268115520477295,0,0,0,4.767855644226074,0,4.718593120574951,15.245948791503906,0,0,4.21770179271698,3.243366241455078,4.209768712520599,5.341156959533691,0,0,2.722382068634033,0,1.542850375175476,5.76005744934082,0,4.724241256713867,8.617274284362793
13,6.033536314964294,6.750082015991211,0,0,4.893828868865967,8.776257514953613,4.451589107513428,2.8268115520477295,0,0,0,4.767855644226074,0,11.184653759002686,15.245948791503906,0,0,4.21770179271698,3.243366241455078,4.209768712520599,10.682313919067383,0,0,2.722382068634033,0,1.542850375175476,5.76005744934082,0,4.724241256713867,8.617274284362793
14,6.033536314964294,6.750082015991211,0,0,4.893828868865967,8.776257514953613,9.372123718261719,2.8268115520477295,0,0,0,4.767855644226074,0,11.184653759002686,15.245948791503906,0,2.8929247856140137,4.21770179271698,3.243366241455078,6.106530129909515,10.682313919067383,0,0,2.722382068634033,0,4.161715388298035,5.76005744934082,0,4.724241256713867,8.617274284362793
15,6.033536314964294,6.750082015991211,0,0,5.988918423652649,8.776257514953613,9.372123718261719,2.8268115520477295,0,0,0,4.767855644226074,5.168252468109131,11.184653759002686,15.245948791503906,0,6.007879018783569,4.21770179271698,3.243366241455078,6.106530129909515,10.682313919067383,0,0,2.722382068634033,0,4.161715388298035,5.76005744934082,0,4.724241256713867,8.617274284362793
16,6.033536314964294,6.750082015991211,0,0,5.988918423652649,8.776257514953613,9.372123718261719,2.8268115520477295,0,0,0,4.767855644226074,5.168252468109131,11.184653759002686,15.245948791503906,0,6.007879018783569,4.21770179271698,3.243366241455078,6.106530129909515,11.629069089889526,0,0,2.722382068634033,0,4.161715388298035,5.76005744934082,0,4.724241256713867,8.617274284362793
17,6.033536314964294,6.750082015991211,0,0,5.988918423652649,8.776257514953613,9.372123718261719,2.8268115520477295,0,0,0,4.767855644226074,5.168252468109131,11.184653759002686,15.245948791503906,0,6.007879018783569,4.21770179271698,5.367154836654663,6.106530129909515,13.522579431533813,0,0,5.7558510303497314,0,6.609325289726257,9.860876083374023,0,4.724241256713867,8.617274284362793
18,6.033536314964294,9.973870754241943,12.200112342834473,0,5.988918423652649,8.776257514953613,9.372123718261719,2.8268115520477295,0,0,0,4.767855644226074,5.168252468109131,11.184653759002686,15.245948791503906,0,6.007879018783569,4.21770179271698,5.367154836654663,6.106530129909515,13.522579431533813,0,0,5.7558510303497314,0,6.609325289726257,9.860876083374023,0,4.724241256713867,8.617274284362793
19,6.033536314964294,9.973870754241943,12.200112342834473,0,5.988918423652649,8.776257514953613,9.372123718261719,2.8268115520477295,0,0,0,4.767855644226074,5.168252468109131,11.184653759002686,15.245948791503906,0,6.007879018783569,4.21770179271698,5.367154836654663,6.106530129909515,13.522579431533813,0,0,5.7558510303497314,4.006239414215088,6.609325289726257,9.860876083374023,0,4.724241256713867,8.617274284362793
20,6.033536314964294,9.973870754241943,12.200112342834473,0,5.988918423652649,8.776257514953613,9.372123718261719,2.8268115520477295,0,0,0,4.767855644226074,5.168252468109131,11.184653759002686,15.245948791503906,0,6.007879018783569,6.876448750495911,5.367154836654663,6.106530129909515,15.4160897731781,0,0,5.7558510303497314,4.006239414215088,6.609325289726257,9.860876083374023,0,4.724241256713867,16.097418785095215
21,6.033536314964294,9.973870754241943,12.200112342834473,0,5.988918423652649,8.776257514953613,9.372123718261719,2.8268115520477295,0,0,0,4.767855644226074,5.168252468109131,11.184653759002686,15.245948791503906,0,6.007879018783569,6.876448750495911,5.367154836654663,6.106530129909515,15.4160897731781,0,0,5.7558510303497314,4.006239414215088,6.609325289726257,9.860876083374023,0,4.724241256713867,16.097418785095215
