LON: -98.9425499 | LAT: 19.3454502,,
Day,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0,0,0,0,0,0,0,0,0,0,0,3.0250961780548096,0,0,0,0,0,2.021557569503784,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,3.0250961780548096,0,0,0,0,0,4.043115139007568,0,0,0,0,0,3.83937406539917,1.3828684091567993,0,0,0,0,0
3,0,0,0,0,0,1.727484941482544,0,0,0,0,0,3.0250961780548096,0,0,1.4447054862976074,0,0,4.043115139007568,0,0,0,0,0,3.83937406539917,1.3828684091567993,0,0,0,0,0
4,0,0,0,0,0,1.727484941482544,0,0,0,0,0,3.0250961780548096,0,0,1.4447054862976074,0,0,4.043115139007568,0,0,0,0,0,3.83937406539917,1.3828684091567993,0,0,0,0,0
5,0,0,0,0,0,1.727484941482544,0,0,0,0,0,3.0250961780548096,0,0,1.4447054862976074,0,0,4.043115139007568,0,0,0,0,0,3.83937406539917,1.3828684091567993,0,0,0,0,0
6,0,0,0,0,0,1.727484941482544,0,0,0,0,0,3.0250961780548096,0,0,1.4447054862976074,0,0,5.466958045959473,0,2.672266960144043,0,0,0,3.83937406539917,1.3828684091567993,0,0,0,0,0
7,0,0,0,0,0,1.727484941482544,0,0,0,0,0,3.0250961780548096,0,1.7329075336456299,1.4447054862976074,0,0,5.466958045959473,0,2.672266960144043,0,0,0,3.83937406539917,1.3828684091567993,0,2.4913573265075684,0,0.8763597011566162,11.20181941986084
8,0,0,0,0,0,1.727484941482544,0,0,0,0,0,3.0250961780548096,0,1.7329075336456299,9.112184524536133,0,0,5.466958045959473,0,2.672266960144043,0,0,0,3.83937406539917,1.3828684091567993,0,3.7370359897613525,0,0.8763597011566162,11.20181941986084
9,0,0,0,0,0,1.727484941482544,0,0,0,0,0,3.0250961780548096,0,1.7329075336456299,9.112184524536133,0,0,5.466958045959473,0,2.672266960144043,0,0,0,3.83937406539917,1.3828684091567993,0,4.982714653015137,0,1.7527194023132324,11.20181941986084
10,0,0,0,0,0,5.005367994308472,0,0,5.012086391448975,0,0,3.0250961780548096,0,1.7329075336456299,9.112184524536133,0,0,5.466958045959473,0,2.672266960144043,1.9211632013320923,0,0,6.523419380187988,1.3828684091567993,0,4.982714653015137,0,2.1908992528915405,11.20181941986084
11,0,0,0,0,0,5.005367994308472,0,0,5.012086391448975,0,0,3.0250961780548096,0,1.7329075336456299,9.112184524536133,0,0,5.466958045959473,0,2.672266960144043,1.9211632013320923,0,0,6.523419380187988,1.3828684091567993,0,4.982714653015137,0,2.1908992528915405,11.20181941986084
12,0,0,0,0,0,5.005367994308472,0,0,5.012086391448975,0,0,3.0250961780548096,0,1.7329075336456299,9.112184524536133,0,0,5.466958045959473,0,2.672266960144043,5.546035170555115,0,0,6.523419380187988,1.3828684091567993,0,4.982714653015137,0,2.1908992528915405,11.20181941986084
13,0,0,0,0,0,5.005367994308472,3.523002862930298,0,5.012086391448975,0,0,3.0250961780548096,0,7.890946626663208,9.112184524536133,0,0,5.466958045959473,0,2.672266960144043,6.754325866699219,0,0,6.523419380187988,1.3828684091567993,0,4.982714653015137,0,2.1908992528915405,11.20181941986084
14,0,0,0,0,0,5.005367994308472,7.153852701187134,0,5.012086391448975,0,0,3.0250961780548096,0,7.890946626663208,9.112184524536133,0,0,5.466958045959473,0,5.082437515258789,6.754325866699219,0,0,6.523419380187988,1.3828684091567993,0,4.982714653015137,0,2.1908992528915405,11.20181941986084
15,0,0,0,0,0,5.005367994308472,7.153852701187134,0,5.012086391448975,0,0,3.0250961780548096,0,7.890946626663208,9.112184524536133,0,0,5.466958045959473,0,5.082437515258789,6.754325866699219,0,0,6.523419380187988,1.3828684091567993,0,4.982714653015137,0,2.1908992528915405,11.20181941986084
16,0,0,0,0,0,5.005367994308472,7.153852701187134,0,8.67457103729248,0,0,3.0250961780548096,0,7.890946626663208,9.112184524536133,0,0,5.466958045959473,0,5.082437515258789,7.788061261177063,0,0,6.523419380187988,1.3828684091567993,0,4.982714653015137,0,2.1908992528915405,11.20181941986084
