LON: -98.78189 | LAT: 19.16669,,
Day,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,0,5.092228412628174,0,0,0,0,0,0,0,0,0,3.7348124980926514,0,0,0,0,0,5.254187107086182,0,0,0,0,0,0,0,0,0,0,0,0
2,0,5.092228412628174,0,0,0,2.396162986755371,0,0,0,0,0,3.7348124980926514,0,0,0,0,0,5.254187107086182,0,0,0,0,0,0,0,0,0,0,0,0
3,0,5.092228412628174,0,0,0,2.396162986755371,0,0,0,0,0,3.7348124980926514,0,0,0,0,0,5.254187107086182,0,0,0,0,0,0,1.7466126680374146,0,0,0,0,0
4,0,5.092228412628174,0,0,0,2.396162986755371,0,0,0,0,0,3.7348124980926514,0,0,0,0,0,5.254187107086182,0,0,0,0,0,0,1.7466126680374146,0,0,0,0,0
5,0,5.092228412628174,0,0,0,2.396162986755371,0,0,0,0,0,3.7348124980926514,0,0,0,0,0,5.254187107086182,0,0,0,0,0,0,1.7466126680374146,0,0,0,0,0
6,0,5.092228412628174,0,0,0,2.396162986755371,0,0,0,0,0,3.7348124980926514,0,0,0,0,0,5.254187107086182,0,0,0,0,0,0,1.7466126680374146,0,0,0,0,0
7,0,5.092228412628174,0,0,0,2.396162986755371,0,0,0,0,0,3.7348124980926514,0,3.464048147201538,0,0,0,5.254187107086182,0,0.9223734140396118,0,0,0,0,1.7466126680374146,1.2974010705947876,2.6457366943359375,0,0,10.97035026550293
8,0,5.092228412628174,0,0,0,2.396162986755371,0,0,0,0,0,3.7348124980926514,0,3.464048147201538,10.900893211364746,0,0,5.254187107086182,0,0.9223734140396118,0,0,0,0,1.7466126680374146,1.2974010705947876,3.9686050415039062,0,0,10.97035026550293
9,0,5.092228412628174,0,0,0,2.396162986755371,0,0,0,0,0,3.7348124980926514,0,3.464048147201538,10.900893211364746,0,0,5.254187107086182,0,2.7671202421188354,0,0,0,0,1.7466126680374146,1.2974010705947876,3.9686050415039062,0,3.294327735900879,10.97035026550293
10,0,5.092228412628174,0,0,0,7.368406772613525,0,0,5.779516220092773,0,0,3.7348124980926514,0,3.464048147201538,10.900893211364746,0,0,5.254187107086182,0,2.7671202421188354,0,0,0,0,1.7466126680374146,1.2974010705947876,3.9686050415039062,0,3.294327735900879,10.97035026550293
11,0,5.092228412628174,0,0,0,7.368406772613525,0,0,5.779516220092773,0,0,3.7348124980926514,0,3.464048147201538,10.900893211364746,0,0,5.254187107086182,0,2.7671202421188354,0,0,0,0,1.7466126680374146,3.054109811782837,3.9686050415039062,0,3.294327735900879,10.97035026550293
12,0,5.092228412628174,0,0,0,7.368406772613525,0,0,5.779516220092773,0,0,3.7348124980926514,0,3.464048147201538,10.900893211364746,0,0,5.254187107086182,0,2.7671202421188354,2.663172483444214,0,0,0,1.7466126680374146,3.054109811782837,3.9686050415039062,0,3.294327735900879,10.97035026550293
13,0,5.092228412628174,0,0,0,7.368406772613525,7.924832344055176,0,5.779516220092773,0,0,3.7348124980926514,0,9.678916692733765,10.900893211364746,0,0,5.254187107086182,0,2.7671202421188354,5.326344966888428,0,0,0,1.7466126680374146,3.054109811782837,3.9686050415039062,0,3.294327735900879,10.97035026550293
14,0,5.092228412628174,0,0,0,7.368406772613525,7.924832344055176,0,5.779516220092773,0,0,3.7348124980926514,0,9.678916692733765,10.900893211364746,0,0,5.254187107086182,0,4.717213034629822,5.326344966888428,0,0,0,1.7466126680374146,3.054109811782837,3.9686050415039062,0,3.294327735900879,10.97035026550293
15,0,5.092228412628174,0,0,0,7.368406772613525,7.924832344055176,0,5.779516220092773,0,0,3.7348124980926514,4.039319038391113,9.678916692733765,10.900893211364746,0,0,5.254187107086182,0,4.717213034629822,5.326344966888428,0,0,0,1.7466126680374146,3.054109811782837,3.9686050415039062,0,3.294327735900879,10.97035026550293
16,0,5.092228412628174,0,0,0,7.368406772613525,7.924832344055176,0,10.377480030059814,0,0,3.7348124980926514,4.039319038391113,9.678916692733765,10.900893211364746,0,0,5.254187107086182,0,4.717213034629822,6.115536868572235,0,0,0,1.7466126680374146,3.054109811782837,3.9686050415039062,0,3.294327735900879,10.97035026550293
17,0,5.092228412628174,0,0,0,7.368406772613525,7.924832344055176,0,10.377480030059814,0,0,3.7348124980926514,4.039319038391113,9.678916692733765,10.900893211364746,0,0,5.254187107086182,0,4.717213034629822,6.9047287702560425,0,0,4.133798599243164,1.7466126680374146,5.482361316680908,6.404882431030273,0,3.294327735900879,10.97035026550293
18,0,7.718001365661621,11.14492416381836,0,0,7.368406772613525,7.924832344055176,0,10.377480030059814,0,0,3.7348124980926514,4.039319038391113,9.678916692733765,10.900893211364746,0,0,5.254187107086182,0,4.717213034629822,6.9047287702560425,0,0,4.133798599243164,1.7466126680374146,5.482361316680908,6.404882431030273,0,3.294327735900879,10.97035026550293
19,0,7.718001365661621,11.14492416381836,0,0,7.368406772613525,7.924832344055176,0,10.377480030059814,0,0,3.7348124980926514,4.039319038391113,9.678916692733765,10.900893211364746,0,0,5.254187107086182,0,4.717213034629822,6.9047287702560425,0,0,4.133798599243164,4.321647763252258,5.482361316680908,6.404882431030273,0,3.294327735900879,10.97035026550293
20,0,7.718001365661621,11.14492416381836,0,0,7.368406772613525,7.924832344055176,0,10.377480030059814,0,0,3.7348124980926514,4.039319038391113,9.678916692733765,10.900893211364746,0,0,5.254187107086182,0,4.717213034629822,8.483112573623657,0,0,4.133798599243164,4.321647763252258,5.482361316680908,6.404882431030273,0,3.294327735900879,10.97035026550293
